z.average.synthesized,z.average.serum,volume.mean.synthesized,volume.mean.serum,number.mean.synthesized,number.mean.serum,intensity.mean.synthesized,intensity.mean.serum,polydispersity.index.synthesized,polydispersity.index.serum,zeta.potential.synthesized,zeta.potential.serum,lspr.index.synthesized,lspr.index.serum,lspr.peak.position.synthesized,serum.density.protot,serum.density.autot,total.spc,num.protein.id,cell.association
22.36,57.53,21.94,21.75,23.49,18.38,23.49,70.97,0.084,0.27,-21.78,-9.11,0.182530253,0.454404195,518.77,2.927,255.4430266,2028,94,Medium
30.95,90.06,11.76,67.79,47.5,53.87,47.5,106.7,0.399,0.215,15.22,-8.79,0.458209658,0.525747071,526.28,4.602,240.7287996,2683,81,High
22.64,44.43,22.32,44.8,35.03,34.07,35.03,63.72,0.147,0.184,-24.08,-6.73,0.223533915,0.274761252,518.33,4.79,247.0191324,1260,51,Medium
23.09,37.75,21.22,74.66,23.04,31.4,23.04,68.92,0.15,0.207,-20.27,-8.29,0.273619886,0.327264445,518.57,3.552,240.1767044,1286,58,Medium
23.8,55.98,4.11,221.93,29.49,25.25,29.49,83.34,0.326,0.273,16.35,-7.95,0.365435833,0.389573359,523.23,5.741,244.2281341,2401,81,High
25.22,38.8,21.32,36.99,23.12,34.38,23.12,41.33,0.144,0.154,-21.42,-6.54,0.206909736,0.26532699,519.87,2.976,259.0438079,1557,71,Low
18.65,54.03,19.47,38.58,28.3,32.35,28.3,64.47,0.138,0.217,-25.26,-8.5,0.210430919,0.292836119,517.68,5.488,272.7685577,1855,78,Medium
45.72,44.6,46.42,43.94,50.95,41.77,50.95,46.96,0.115,0.093,-12.29,-7.48,0.250940122,0.280491349,520.6,0.142,241.5200528,1215,72,Low
19.85,38.69,20.14,33.52,21.49,30.34,21.49,40.44,0.086,0.154,-6.33,-5.91,0.211466307,0.263698153,519.07,1.67,258.6099131,1717,91,Low
15.6,59.7,2.75,69.66,35.99,17.68,35.99,105.1,0.465,0.371,-5.01,-9.26,0.326141556,0.365810851,518.9,4.008,213.3235479,1453,116,Medium
23.15,47.03,22.84,175.14,27.78,23.34,27.78,140.15,0.187,0.336,13.49,-9.7,0.266578823,0.317133738,520.23,0.3,234.6105923,1098,75,Low
20.53,48.4,19.51,113.66,23.23,25.62,23.23,99.43,0.191,0.308,19.6,-6.52,0.275460611,0.32475128,519.37,1.215,247.7433096,1431,87,Low
28.17,47.34,28.17,62.91,31.58,34.51,31.58,83.76,0.193,0.237,13.92,-6.37,0.27649778,0.297222531,522.1,2.107,235.4842952,1577,73,High
33.6,58.95,16.66,33.85,28.99,26.12,28.99,87.33,0.268,0.346,25.83,-5.46,0.309989179,0.367331174,521.43,0.412,257.8317343,231,28,Medium
82.41,59.93,27.08,33.04,55.31,27.7,55.31,86.81,0.249,0.367,-29.37,-6.1,0.395907163,0.320778997,534.13,0.526,249.152291,1706,53,Medium
